TIME_PERIOD,age,total_height,boy_height,girl_height,total_weight,boy_weight,girl_weight,GDP_Value,GDP_Growth_Rate,NI_Value,NI_Growth_Rate,GNI_Value,GNI_Growth_Rate,exp_Value,exp_Growth_Rate,boy_BMI,girl_BMI,total_BMI
2007,6,117.1,117.6,116.6,22.4,23.0,21.8,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,16.630801980656212,16.034646605215237,16.33556756252183
2007,7,121.4,121.9,120.9,24.6,25.3,23.9,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,17.026018852446327,16.351036922556972,16.69159096645669
2007,8,127.1,127.5,126.7,27.9,28.7,27.0,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,17.654748173779318,16.819401366358328,17.270825737368313
2007,9,132.8,132.9,132.6,31.8,32.8,30.8,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,18.570512178122918,17.51715885333134,18.031463202206414
2007,10,138.8,138.5,139.3,36.3,37.2,35.3,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,19.39292835824786,18.1916659494787,18.84203008080791
2007,11,145.0,144.2,145.9,41.1,41.9,40.1,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,20.15039213913485,18.83795646224117,19.548156956004757
2007,12,151.4,151.2,151.6,46.3,47.5,45.0,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,20.77734385935445,19.580064187801533,20.19897076864282
2007,13,157.1,158.9,155.3,51.1,53.5,48.6,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,21.188781748023008,20.150849424643493,20.704680351744564
2007,14,161.1,164.7,157.3,54.8,58.4,50.9,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,21.52908878500367,20.571233655669875,21.114921815066424
2007,15,163.2,167.8,158.1,56.7,61.0,52.0,583133.0,5.86,503548.0,4.06,597334.0,5.86,313787.0,3.16,21.66436290436,20.803653121488136,21.2883866782007
