Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
平均每人GNI、當期價格N.T.元,1951,Y,原始值,1588
平均每人GNI、當期價格N.T.元,1951,Y,年增率(%),
平均每人GNI、當期價格N.T.元,1952,Y,原始值,2146
平均每人GNI、當期價格N.T.元,1952,Y,年增率(%),35.14
平均每人GNI、當期價格N.T.元,1953,Y,原始值,2764
平均每人GNI、當期價格N.T.元,1953,Y,年增率(%),28.8
平均每人GNI、當期價格N.T.元,1954,Y,原始值,2928
平均每人GNI、當期價格N.T.元,1954,Y,年增率(%),5.93
平均每人GNI、當期價格N.T.元,1955,Y,原始值,3363
平均每人GNI、當期價格N.T.元,1955,Y,年增率(%),14.86
平均每人GNI、當期價格N.T.元,1956,Y,原始值,3732
平均每人GNI、當期價格N.T.元,1956,Y,年增率(%),10.97
平均每人GNI、當期價格N.T.元,1957,Y,原始值,4219
平均每人GNI、當期價格N.T.元,1957,Y,年增率(%),13.05
平均每人GNI、當期價格N.T.元,1958,Y,原始值,4568
平均每人GNI、當期價格N.T.元,1958,Y,年增率(%),8.27
平均每人GNI、當期價格N.T.元,1959,Y,原始值,5090
平均每人GNI、當期價格N.T.元,1959,Y,年增率(%),11.43
平均每人GNI、當期價格N.T.元,1960,Y,原始值,5940
平均每人GNI、當期價格N.T.元,1960,Y,年增率(%),16.7
平均每人GNI、當期價格N.T.元,1961,Y,原始值,6440
平均每人GNI、當期價格N.T.元,1961,Y,年增率(%),8.42
平均每人GNI、當期價格N.T.元,1962,Y,原始值,6872
平均每人GNI、當期價格N.T.元,1962,Y,年增率(%),6.71
平均每人GNI、當期價格N.T.元,1963,Y,原始值,7534
平均每人GNI、當期價格N.T.元,1963,Y,年增率(%),9.63
平均每人GNI、當期價格N.T.元,1964,Y,原始值,8542
平均每人GNI、當期價格N.T.元,1964,Y,年增率(%),13.38
平均每人GNI、當期價格N.T.元,1965,Y,原始值,9157
平均每人GNI、當期價格N.T.元,1965,Y,年增率(%),7.2
平均每人GNI、當期價格N.T.元,1966,Y,原始值,9956
平均每人GNI、當期價格N.T.元,1966,Y,年增率(%),8.73
平均每人GNI、當期價格N.T.元,1967,Y,原始值,11205
平均每人GNI、當期價格N.T.元,1967,Y,年增率(%),12.55
平均每人GNI、當期價格N.T.元,1968,Y,原始值,12736
平均每人GNI、當期價格N.T.元,1968,Y,年增率(%),13.66
平均每人GNI、當期價格N.T.元,1969,Y,原始值,14247
平均每人GNI、當期價格N.T.元,1969,Y,年增率(%),11.86
平均每人GNI、當期價格N.T.元,1970,Y,原始值,15839
平均每人GNI、當期價格N.T.元,1970,Y,年增率(%),11.17
平均每人GNI、當期價格N.T.元,1971,Y,原始值,18035
平均每人GNI、當期價格N.T.元,1971,Y,年增率(%),13.86
平均每人GNI、當期價格N.T.元,1972,Y,原始值,21193
平均每人GNI、當期價格N.T.元,1972,Y,年增率(%),17.51
平均每人GNI、當期價格N.T.元,1973,Y,原始值,26981
平均每人GNI、當期價格N.T.元,1973,Y,年增率(%),27.31
平均每人GNI、當期價格N.T.元,1974,Y,原始值,35471
平均每人GNI、當期價格N.T.元,1974,Y,年增率(%),31.47
平均每人GNI、當期價格N.T.元,1975,Y,原始值,37227
平均每人GNI、當期價格N.T.元,1975,Y,年增率(%),4.95
平均每人GNI、當期價格N.T.元,1976,Y,原始值,43686
平均每人GNI、當期價格N.T.元,1976,Y,年增率(%),17.35
平均每人GNI、當期價格N.T.元,1977,Y,原始值,50234
平均每人GNI、當期價格N.T.元,1977,Y,年增率(%),14.99
平均每人GNI、當期價格N.T.元,1978,Y,原始值,59211
平均每人GNI、當期價格N.T.元,1978,Y,年增率(%),17.87
平均每人GNI、當期價格N.T.元,1979,Y,原始值,70219
平均每人GNI、當期價格N.T.元,1979,Y,年增率(%),18.59
平均每人GNI、當期價格N.T.元,1980,Y,原始值,85876
平均每人GNI、當期價格N.T.元,1980,Y,年增率(%),22.3
平均每人GNI、當期價格N.T.元,1981,Y,原始值,99544
平均每人GNI、當期價格N.T.元,1981,Y,年增率(%),15.92
平均每人GNI、當期價格N.T.元,1982,Y,原始值,105549
平均每人GNI、當期價格N.T.元,1982,Y,年增率(%),6.03
平均每人GNI、當期價格N.T.元,1983,Y,原始值,116479
平均每人GNI、當期價格N.T.元,1983,Y,年增率(%),10.36
平均每人GNI、當期價格N.T.元,1984,Y,原始值,129331
平均每人GNI、當期價格N.T.元,1984,Y,年增率(%),11.03
平均每人GNI、當期價格N.T.元,1985,Y,原始值,134548
平均每人GNI、當期價格N.T.元,1985,Y,年增率(%),4.03
平均每人GNI、當期價格N.T.元,1986,Y,原始值,156731
平均每人GNI、當期價格N.T.元,1986,Y,年增率(%),16.49
平均每人GNI、當期價格N.T.元,1987,Y,原始值,174249
平均每人GNI、當期價格N.T.元,1987,Y,年增率(%),11.18
平均每人GNI、當期價格N.T.元,1988,Y,原始值,187150
平均每人GNI、當期價格N.T.元,1988,Y,年增率(%),7.4
平均每人GNI、當期價格N.T.元,1989,Y,原始值,206086
平均每人GNI、當期價格N.T.元,1989,Y,年增率(%),10.12
平均每人GNI、當期價格N.T.元,1990,Y,原始值,226418
平均每人GNI、當期價格N.T.元,1990,Y,年增率(%),9.87
平均每人GNI、當期價格N.T.元,1991,Y,原始值,251345
平均每人GNI、當期價格N.T.元,1991,Y,年增率(%),11.01
平均每人GNI、當期價格N.T.元,1992,Y,原始值,276753
平均每人GNI、當期價格N.T.元,1992,Y,年增率(%),10.11
平均每人GNI、當期價格N.T.元,1993,Y,原始值,302119
平均每人GNI、當期價格N.T.元,1993,Y,年增率(%),9.17
平均每人GNI、當期價格N.T.元,1994,Y,原始值,326588
平均每人GNI、當期價格N.T.元,1994,Y,年增率(%),8.1
平均每人GNI、當期價格N.T.元,1995,Y,原始值,352725
平均每人GNI、當期價格N.T.元,1995,Y,年增率(%),8
平均每人GNI、當期價格N.T.元,1996,Y,原始值,379656
平均每人GNI、當期價格N.T.元,1996,Y,年增率(%),7.64
平均每人GNI、當期價格N.T.元,1997,Y,原始值,406483
平均每人GNI、當期價格N.T.元,1997,Y,年增率(%),7.07
平均每人GNI、當期價格N.T.元,1998,Y,原始值,432018
平均每人GNI、當期價格N.T.元,1998,Y,年增率(%),6.28
平均每人GNI、當期價格N.T.元,1999,Y,原始值,449473
平均每人GNI、當期價格N.T.元,1999,Y,年增率(%),4.04
平均每人GNI、當期價格N.T.元,2000,Y,原始值,471734
